Num_Orders,Penalty_Lost,Mechanism,Fleet_Scale,Solver,Replications,Optimal_Rate,Mean_Total_Cost,SD_Total_Cost,Max_Total_Cost,Mean_Unserved_Rate,SD_Unserved_Rate,Max_Unserved_Rate,Mean_Solve_Time_Sec,SD_Solve_Time_Sec,Max_Solve_Time_Sec,Mean_MIP_Gap,SD_MIP_Gap,Max_MIP_Gap,Mean_Direct_Ratio,SD_Direct_Ratio,Max_Direct_Ratio,Mean_Manual_Usage,SD_Manual_Usage,Max_Manual_Usage,Mean_Auto_Usage,SD_Auto_Usage,Max_Auto_Usage
100,20.0,flexible,1.0,paper_priority_heuristic,3,1.0,2416.6666666666665,144.33756729740645,2500.0,0.0,0.0,0.0,0.9733333333333333,0.011547005383792526,0.98,0.0,0.0,0.0,1.0,0.0,1.0,9.666666666666666,0.5773502691896257,10.0,0.0,0.0,0.0
100,3.0,flexible,1.0,flexible_direct_mip,3,1.0,1285.0,106.88779163215975,1370.0,0.06696666666666666,0.015221476056326906,0.0817,3.8733333333333335,0.7550055187436269,4.63,0.0,0.0,0.0,0.3359184414333334,0.42675202436927706,0.8161057692,8.666666666666666,2.8867513459481287,12.0,3.6666666666666665,2.0816659994661326,6.0
100,3.0,flexible,1.0,paper_candidate_mip,3,1.0,2030.0,30.0,2060.0,0.006933333333333333,0.007625177593560253,0.0151,0.7566666666666667,0.037859388972001855,0.8,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,8.0,0.0,0.0,0.0
100,4.0,flexible,1.0,flexible_direct_mip,3,1.0,1385.0,83.51646544245033,1460.0,0.0569,0.022528204544525955,0.0817,3.98,0.6939740629158988,4.58,0.0,0.0,0.0,0.4595149880666667,0.33295969740857745,0.8238998782,8.0,1.7320508075688772,10.0,3.0,1.0,4.0
100,4.0,flexible,1.0,paper_candidate_mip,3,1.0,2096.6666666666665,134.28824718989125,2250.0,0.0019,0.003290896534380867,0.0057,0.77,0.034641016151377574,0.79,0.0,0.0,0.0,1.0,0.0,1.0,8.333333333333334,0.5773502691896257,9.0,0.0,0.0,0.0
100,5.0,flexible,1.0,flexible_direct_mip,3,1.0,1475.0,66.14378277661477,1550.0,0.046433333333333326,0.007579797710581288,0.0513,4.0,0.5474486277268397,4.63,0.0,0.0,0.0,0.533276317,0.2867438090087121,0.7920673077,8.333333333333334,1.5275252316519468,10.0,3.0,1.0,4.0
100,5.0,flexible,1.0,paper_candidate_mip,3,1.0,2166.6666666666665,144.33756729740645,2250.0,0.0,0.0,0.0,0.7966666666666667,0.035118845842842444,0.83,0.0,0.0,0.0,1.0,0.0,1.0,8.666666666666666,0.5773502691896257,9.0,0.0,0.0,0.0
100,5.0,flexible,1.0,paper_priority_heuristic,3,1.0,2166.6666666666665,144.33756729740645,2250.0,0.0,0.0,0.0,0.9533333333333333,0.030550504633038898,0.98,0.0,0.0,0.0,1.0,0.0,1.0,8.666666666666666,0.5773502691896257,9.0,0.0,0.0,0.0
200,1.0,flexible,1.0,flexible_direct_mip,1,1.0,1249.0306026885,,1249.0306026885,0.1712,,0.1712,7.74,,7.74,0.0,,0.0,0.2409484841,,0.2409484841,7.0,,7.0,3.0,,3.0
200,1.0,flexible,1.0,paper_candidate_mip,1,1.0,1837.0306026885,,1837.0306026885,0.0314,,0.0314,1.59,,1.59,0.0,,0.0,1.0,,1.0,7.0,,7.0,0.0,,0.0
